date,type,severity,message,value,lead_time_days
2025-01-01,frost_warning,HIGH,FROST WARNING: Temperature forecast -0.2°C (below 0°C),-0.19685317863600282,0
2025-01-02,frost_warning,HIGH,FROST WARNING: Temperature forecast -0.6°C (below 0°C),-0.5882461441821807,1
2025-01-03,frost_warning,HIGH,FROST WARNING: Temperature forecast -1.1°C (below 0°C),-1.1150021413091284,2
2025-01-04,frost_warning,HIGH,FROST WARNING: Temperature forecast -1.4°C (below 0°C),-1.3660155788059605,3
2025-01-05,frost_warning,HIGH,FROST WARNING: Temperature forecast -1.0°C (below 0°C),-0.9736260910114893,4
2025-01-06,frost_warning,HIGH,FROST WARNING: Temperature forecast -1.1°C (below 0°C),-1.128303103023221,5
2025-01-07,frost_warning,HIGH,FROST WARNING: Temperature forecast -1.2°C (below 0°C),-1.1822260538399476,6
2025-01-08,frost_warning,HIGH,FROST WARNING: Temperature forecast -1.1°C (below 0°C),-1.1279225414929144,7
2025-01-09,frost_warning,HIGH,FROST WARNING: Temperature forecast -1.5°C (below 0°C),-1.483977393181032,8
2025-01-10,frost_warning,HIGH,FROST WARNING: Temperature forecast -2.0°C (below 0°C),-1.968262521515019,9
2025-01-11,frost_warning,HIGH,FROST WARNING: Temperature forecast -2.2°C (below 0°C),-2.171500999260246,10
2025-01-12,frost_warning,HIGH,FROST WARNING: Temperature forecast -1.7°C (below 0°C),-1.7279398348154142,11
2025-01-13,frost_warning,HIGH,FROST WARNING: Temperature forecast -1.8°C (below 0°C),-1.829971431916361,12
2025-01-14,frost_warning,HIGH,FROST WARNING: Temperature forecast -1.8°C (below 0°C),-1.8316508716446265,13
2025-01-15,frost_warning,HIGH,FROST WARNING: Temperature forecast -1.7°C (below 0°C),-1.7272731150158656,14
2025-01-16,frost_warning,HIGH,FROST WARNING: Temperature forecast -2.0°C (below 0°C),-2.0370249049209814,15
2025-01-17,frost_warning,HIGH,FROST WARNING: Temperature forecast -2.5°C (below 0°C),-2.480162895571606,16
